"file_id","sample_type","condition"
"c58f9425-5789-4c8c-8bda-5e75ba382783","Primary Tumor","Primary Tumor"
"8c2ea0f3-474f-47f4-9900-d708e14e244c","Primary Tumor","Primary Tumor"
"a6996338-7dab-4816-898a-a20430141131","Primary Tumor","Primary Tumor"
"f91fc5b4-3e79-4028-81d5-56c947de95ee","Primary Tumor","Primary Tumor"
"bf74aec5-b781-4cef-8b4a-7fbe0a8958d9","Primary Tumor","Primary Tumor"
"9921ecf7-18c2-49ea-9243-293de7bd9e59","Primary Tumor","Primary Tumor"
"d2c48770-5184-48fa-84af-8db038d4b8d8","Primary Tumor","Primary Tumor"
"dbc969c2-024a-4b0a-bb3d-1bd35e000e36","Primary Tumor","Primary Tumor"
"7cdd6719-c7c9-4a29-8075-dbca0bce6aff","Primary Tumor","Primary Tumor"
"32c24548-2714-4a90-bfb1-002f1c46c0c5","Primary Tumor","Primary Tumor"
"59dc9929-f28e-4f94-b1cf-789f7007107f","Primary Tumor","Primary Tumor"
"c3460a50-6e60-4d5e-8f54-3181991b94e4","Solid Tissue Normal","Solid Tissue Normal"
"cbe969fc-2e73-4ab6-94d4-c4c95d4e8ea5","Primary Tumor","Primary Tumor"
"e62de0de-c8eb-46b0-9d1e-d0e1d688d2ac","Primary Tumor","Primary Tumor"
"a8c56ead-63aa-453e-871b-4d1688c1e715","Primary Tumor","Primary Tumor"
"bb7f69e5-2fff-4178-bc7b-93a41fbe6123","Primary Tumor","Primary Tumor"
"cb611345-3a56-4f49-b364-597d672152d7","Primary Tumor","Primary Tumor"
"16211ee3-2f4b-40e1-93b7-4f547b6c5778","Primary Tumor","Primary Tumor"
"3f460a1a-f1dd-4c11-95b1-f5757a8e7cc4","Primary Tumor","Primary Tumor"
"c3ba1574-1df3-4ef6-9dbf-3176ee75556f","Primary Tumor","Primary Tumor"
"af68c263-395e-49d7-9595-024857785b06","Primary Tumor","Primary Tumor"
"602a190c-b633-4af8-ab82-96c9677f900b","Primary Tumor","Primary Tumor"
"0db85fe0-94d6-4b8d-bff4-d69aea8a0806","Primary Tumor","Primary Tumor"
"0c763950-a82a-42f3-9d68-67be5e5380a8","Primary Tumor","Primary Tumor"
"382047a4-54a9-412e-bfaf-aac8baf48726","Primary Tumor","Primary Tumor"
"1d5e0b6b-ed64-4ccc-9736-0469f2002040","Primary Tumor","Primary Tumor"
"2bb3034f-d37a-4eb4-b633-a3952ab947dd","Solid Tissue Normal","Solid Tissue Normal"
"a7f8eb90-be36-499a-924a-8cd1aaa5fb20","Primary Tumor","Primary Tumor"
"2db0a3fd-2399-4bfb-b676-2b19c197f391","Solid Tissue Normal","Solid Tissue Normal"
"ed809f5e-f379-4f65-8663-83f586c55a98","Primary Tumor","Primary Tumor"
"f316e253-bb84-4c26-a1ef-1df6c5b679b1","Solid Tissue Normal","Solid Tissue Normal"
"597789b8-5b5e-47a3-a937-f7bb9979a554","Primary Tumor","Primary Tumor"
"676ec2aa-cf5c-41f1-9b1a-1e797477a2f1","Primary Tumor","Primary Tumor"
"3f09ffc0-db54-4f87-b8e4-92c55f2045ea","Primary Tumor","Primary Tumor"
"522b6e1d-76dc-4f22-8d02-73b73af86309","Primary Tumor","Primary Tumor"
"97ff9f47-cb8a-4348-a13e-8f87fe3330b0","Primary Tumor","Primary Tumor"
"a68715a2-cd9b-4e96-8c20-5ebe9469d8d8","Primary Tumor","Primary Tumor"
"56b46dcf-c809-4b4d-8e69-9b03d39a4f7a","Primary Tumor","Primary Tumor"
"3a5e7502-cf1f-459d-91af-34e92f5f60d0","Primary Tumor","Primary Tumor"
"f541d19f-8390-40f1-8446-2a3430cae304","Primary Tumor","Primary Tumor"
"84aad260-dee1-46bb-9bb2-9f75f6dbf472","Solid Tissue Normal","Solid Tissue Normal"
"3fdcb9b7-74db-462d-8903-c054eb8b9961","Primary Tumor","Primary Tumor"
"52b38845-c5ce-49c0-b84f-5f6b9ffdd310","Primary Tumor","Primary Tumor"
"0e14a024-d7be-48ca-9aa4-8ce915a584e9","Primary Tumor","Primary Tumor"
"5c50f5de-8495-43d9-a6af-1a0cdec79f9e","Primary Tumor","Primary Tumor"
"1cae5825-2dbe-4eda-a71f-40ea7a554420","Solid Tissue Normal","Solid Tissue Normal"
"2c658173-1941-45fe-baf5-ab67dfbcdfff","Solid Tissue Normal","Solid Tissue Normal"
"37409434-dc17-4345-96d8-5cd388d90166","Primary Tumor","Primary Tumor"
"00d39f52-dfb1-4256-a6a9-54dea7a0401e","Primary Tumor","Primary Tumor"
"5fb51a01-4042-49bd-9c70-a5bb7b23dd36","Primary Tumor","Primary Tumor"
"68137729-ef44-49c5-8bf0-2ff049162836","Primary Tumor","Primary Tumor"
"3cb4c6d3-ee1b-4869-9ffa-df20bfb95c77","Primary Tumor","Primary Tumor"
"6d853114-609f-4be9-8f62-bb3384df0302","Solid Tissue Normal","Solid Tissue Normal"
"bfdfa11e-b19b-4ee5-bed0-227a627ab1f3","Primary Tumor","Primary Tumor"
"b2c1efd2-e611-4dc8-bde7-cb6c2286fdaf","Primary Tumor","Primary Tumor"
"127aed4a-3eee-4e1d-aafd-0ca61759856a","Primary Tumor","Primary Tumor"
"6759accf-5027-4673-aea5-f5b8171ba2c2","Primary Tumor","Primary Tumor"
"92ad661c-b2ed-40fe-9289-5213a97271a7","Primary Tumor","Primary Tumor"
"4aa26af5-b589-49f4-ab6f-e00fda1ea56c","Primary Tumor","Primary Tumor"
"788a05e5-5fee-4430-b303-d4bc30649158","Primary Tumor","Primary Tumor"
"18ed43a1-e364-4a61-83c7-4d62392e0aa0","Primary Tumor","Primary Tumor"
"309f6763-b665-495e-91b2-07007d5cdf04","Solid Tissue Normal","Solid Tissue Normal"
"108e18d9-cb5a-47b3-99c0-0a13b0c4a2a4","Primary Tumor","Primary Tumor"
"17b9eed9-f422-4589-984d-800667aed1e7","Primary Tumor","Primary Tumor"
"d0766295-77cb-446a-9ebe-4820f57a8d36","Solid Tissue Normal","Solid Tissue Normal"
"ebb55c2b-057d-44f5-819b-df9dd596abdc","Primary Tumor","Primary Tumor"
"cd5d99fe-041b-44c2-a01b-d860e35620d8","Primary Tumor","Primary Tumor"
"5ef0522a-89f3-4fb9-a9e1-dc8129d4a73d","Primary Tumor","Primary Tumor"
"9c1ea2bf-d320-44f8-832d-a831d8689c6e","Primary Tumor","Primary Tumor"
"d1d2e357-2dbf-4878-ac40-cf3b12d0aea4","Primary Tumor","Primary Tumor"
"782d5e4e-ad23-4ac8-8654-eb52bbc44f21","Primary Tumor","Primary Tumor"
"5c3861de-66cf-4e2d-95dd-931cee332666","Primary Tumor","Primary Tumor"
"3cdba1e4-b7d4-47ea-8cae-68a8262515d4","Primary Tumor","Primary Tumor"
"17b53839-6c06-48cd-8829-0dd7499eec4e","Solid Tissue Normal","Solid Tissue Normal"
"ece77ba5-55bd-4937-80de-834b8e6c873b","Primary Tumor","Primary Tumor"
"5d9329e4-070b-455b-aedf-a1cc9a7dfdc2","Primary Tumor","Primary Tumor"
"cc577b93-2d1c-4c35-9cde-47db994d2291","Primary Tumor","Primary Tumor"
"def8f9eb-8f3e-47af-97f3-99b588970937","Primary Tumor","Primary Tumor"
"5cc8d0d0-e196-4ef2-85c8-20f8d35764e3","Primary Tumor","Primary Tumor"
"85e388dc-f9a8-40f9-a532-fbfb172ef122","Primary Tumor","Primary Tumor"
"52ed290d-a590-473d-8267-2a2de81b2d3f","Primary Tumor","Primary Tumor"
"4c3a8286-b1f9-486e-9ccc-4b93eb9abb1e","Primary Tumor","Primary Tumor"
"f2c9c022-0b54-45f4-a31a-c97372dda545","Primary Tumor","Primary Tumor"
"bcb337bb-7fc9-4182-9385-b2fd1fcc50b6","Primary Tumor","Primary Tumor"
"472c5ce4-aedb-45b0-a4cb-0948619e358c","Primary Tumor","Primary Tumor"
"0e60fb9a-cb4c-4b9b-a1fd-5b2ae091dc5b","Primary Tumor","Primary Tumor"
"d7cbbbaf-e5cc-4e1d-84b4-c44244ff712c","Primary Tumor","Primary Tumor"
"735ece50-9155-418b-8e31-64d1bfaf153a","Primary Tumor","Primary Tumor"
"343e46a0-ce35-4efc-99d7-720f6a13eff4","Primary Tumor","Primary Tumor"
"4e8f027a-d311-470c-ae1b-c030e1bfa58e","Primary Tumor","Primary Tumor"
"846495f1-2325-4885-860b-ecf2c64a2f4c","Primary Tumor","Primary Tumor"
"fd3b0853-0da6-41a2-8194-fd29e190ebd0","Primary Tumor","Primary Tumor"
"21eda9bb-7b0c-46a0-8dde-4a6a02b4ea17","Primary Tumor","Primary Tumor"
"04d487db-ee31-431d-ad5f-29645cf75e1b","Primary Tumor","Primary Tumor"
"8e19027a-faf5-4f18-a23f-4fc0325ed416","Primary Tumor","Primary Tumor"
"32ae48df-7f72-479d-93b6-8ae2ebe1e531","Primary Tumor","Primary Tumor"
"1609b215-8d43-4764-a749-ba8d03cb49ed","Primary Tumor","Primary Tumor"
"28d07a0a-b5ea-4ec0-b831-e80e060ef49c","Solid Tissue Normal","Solid Tissue Normal"
"57a5d70c-04d1-4b21-834e-2746f74bdce4","Primary Tumor","Primary Tumor"
"b91d66a1-c76f-4256-9eaf-411146e5c9df","Primary Tumor","Primary Tumor"
"4b487c92-84e4-4f5d-af38-62fefd0baa93","Primary Tumor","Primary Tumor"
"2e1de344-442c-4c2b-929a-74021d92c95b","Primary Tumor","Primary Tumor"
"7037419d-af1b-4420-a855-6af478e6e31a","Solid Tissue Normal","Solid Tissue Normal"
"6b261846-2cc0-4c86-b714-7429e18684d9","Primary Tumor","Primary Tumor"
"7e7d3e1a-8f9b-4f1b-9f5e-8ac64d308dfa","Primary Tumor","Primary Tumor"
"515e127f-0f73-4b02-92ec-83f71b724b5e","Primary Tumor","Primary Tumor"
"71b9896d-73fb-4f32-8e6e-e5d839095961","Primary Tumor","Primary Tumor"
"51c4a595-ad63-4ee2-9d5c-1ab9d398e88f","Primary Tumor","Primary Tumor"
"2daeac8d-256d-49d7-b043-b18d8db812eb","Primary Tumor","Primary Tumor"
"45ede76e-9095-4b78-9227-21921468f3ee","Primary Tumor","Primary Tumor"
"1a4fea2e-132f-489d-8ee6-d9a0ec615f53","Primary Tumor","Primary Tumor"
"7e4b904e-cacd-4c36-a5ad-0923bec03578","Primary Tumor","Primary Tumor"
"eb05707c-be5a-4faf-ac42-7e5ca6af53e2","Primary Tumor","Primary Tumor"
"4e515787-2cff-421d-8c77-f7bc35632c46","Primary Tumor","Primary Tumor"
"dc8d96ef-81eb-41c8-a486-02d107c1a137","Primary Tumor","Primary Tumor"
"b836b81e-adfc-41cf-9275-4ce2d3252122","Primary Tumor","Primary Tumor"
"4582abaa-1674-46f5-b049-96d9225759e2","Primary Tumor","Primary Tumor"
"55e9dc18-7bee-4a15-9c77-db1ba5ad4a6b","Primary Tumor","Primary Tumor"
"4bf14da6-816b-4ded-a43c-6156560da9f6","Primary Tumor","Primary Tumor"
"3698bb16-3f20-4ad1-988f-9eb5c7c2f970","Primary Tumor","Primary Tumor"
"4a3061a6-2931-4c2a-b8b9-84540c256eb4","Primary Tumor","Primary Tumor"
"22e11e8c-fab5-40ec-90cc-700be19c5d51","Primary Tumor","Primary Tumor"
"2dc58f9b-608f-4df7-8459-6a0e84e3e893","Primary Tumor","Primary Tumor"
"eb0eec1c-042c-4eb7-a2e0-eb50b49855c6","Primary Tumor","Primary Tumor"
"a3057594-7806-45d2-a92f-4b9f08fcc693","Primary Tumor","Primary Tumor"
"200e65f4-0bba-4133-b0fd-6c69faddc1cc","Primary Tumor","Primary Tumor"
"a594e827-49e5-47a1-b1cc-2c20a123a041","Primary Tumor","Primary Tumor"
"e1271843-3bd3-4f0b-8e6f-fc763ad65776","Primary Tumor","Primary Tumor"
"5702e8ad-1336-440d-a415-9c08a127cbd0","Primary Tumor","Primary Tumor"
"907d0887-5984-4d5e-8d5b-1a7ad1d53572","Primary Tumor","Primary Tumor"
"6318d1bc-6c5c-43db-896d-931f487e4f47","Primary Tumor","Primary Tumor"
"1658fd3a-39c9-4213-b97b-f87d04c603f8","Primary Tumor","Primary Tumor"
"077413d4-9233-4a64-ac64-ada12cd08dd5","Primary Tumor","Primary Tumor"
"05f36336-c79f-45cf-bdde-1acda13d415b","Primary Tumor","Primary Tumor"
"149a17a7-398c-4bd9-a871-7ab9ef9e6879","Primary Tumor","Primary Tumor"
"84d67cc6-c004-4ae1-ba4c-565ee4646c1b","Primary Tumor","Primary Tumor"
"33a8226d-4908-42a2-a82a-8abc1abb23a8","Primary Tumor","Primary Tumor"
"016db033-3cec-4c63-b90f-0428da475a63","Primary Tumor","Primary Tumor"
"1cbd6458-7371-4a79-b4a9-e32894d0fa32","Primary Tumor","Primary Tumor"
"2683fb0e-6a84-4bff-a327-64cfb2dc3308","Primary Tumor","Primary Tumor"
"bd5873b0-4c3c-4aba-987e-0730145d5ea1","Primary Tumor","Primary Tumor"
"37485572-281d-4f54-b0b1-b104b7730d21","Primary Tumor","Primary Tumor"
"0e35c4f4-0da9-4e46-a30b-8d73d57ccf76","Primary Tumor","Primary Tumor"
"b4c62ca8-0393-43dc-b5e2-749c777f948d","Primary Tumor","Primary Tumor"
"17433796-a04c-46d5-a01c-b8c073504b5d","Primary Tumor","Primary Tumor"
"14d1d18c-15e4-4cf1-b54e-131b7142d0cc","Primary Tumor","Primary Tumor"
"7076d394-c6a7-4e0e-b728-842fdaf4af34","Primary Tumor","Primary Tumor"
"5608dff0-72ab-468c-b25f-d411ad581052","Solid Tissue Normal","Solid Tissue Normal"
"2e5887ce-ef0e-4d35-bb09-f84e6a4aeb77","Primary Tumor","Primary Tumor"
"d838c396-1196-49a9-adf0-0daf56187b1b","Primary Tumor","Primary Tumor"
"5832479e-b21c-4613-9f88-87e21fd65475","Primary Tumor","Primary Tumor"
"24a2cd1a-ff32-4704-ae91-088c7a94de24","Primary Tumor","Primary Tumor"
"74a7b430-ec80-47aa-95ed-7d202b72219b","Primary Tumor","Primary Tumor"
"cb163fe6-e7d4-4c3f-b110-2920fa5ef95c","Primary Tumor","Primary Tumor"
"c9f05d9f-4146-48bc-a562-5bad1bcb7293","Primary Tumor","Primary Tumor"
"c1e1a3ff-caba-4adb-b8de-27d2a8ec3ec8","Primary Tumor","Primary Tumor"
"11158ce6-cd7a-4450-8b57-395270b20a70","Primary Tumor","Primary Tumor"
"4054a92c-e4c6-4742-99fc-2e9bc0b99ed5","Solid Tissue Normal","Solid Tissue Normal"
"1d47e720-1a02-45f4-b0dc-99861916e3e1","Primary Tumor","Primary Tumor"
"bd884fbc-b8ad-4c27-8eb7-6202db49afec","Primary Tumor","Primary Tumor"
"424e28df-38e0-4fdd-a93a-f1d9b002a531","Primary Tumor","Primary Tumor"
"ffcc91b1-b803-4dab-a98e-37f12f28be82","Primary Tumor","Primary Tumor"
"e7d55838-b9ad-4147-8ad2-cbe0dd6d5f24","Primary Tumor","Primary Tumor"
"eb9bccdb-06ac-4936-ac3c-73b9eb60098b","Primary Tumor","Primary Tumor"
"fa81b241-f229-417e-8aa2-d2b1e5534561","Primary Tumor","Primary Tumor"
"430527bb-2cef-45ec-9e5b-831b46c0746d","Primary Tumor","Primary Tumor"
"d91020aa-3661-4b53-bbe4-e9677678736b","Solid Tissue Normal","Solid Tissue Normal"
"ca97a614-bab8-4bdc-a663-2d6a81ae4c27","Primary Tumor","Primary Tumor"
"6d88ce71-ecd1-4edf-8935-ea9137ed1ef1","Solid Tissue Normal","Solid Tissue Normal"
"378e7d58-2089-4797-85e8-af08e71477ab","Primary Tumor","Primary Tumor"
"d6c77415-a3c1-4627-a0ab-dacdac3db507","Primary Tumor","Primary Tumor"
"a9034495-f0b8-4db4-9014-cf515083bb99","Primary Tumor","Primary Tumor"
"c8d46326-0b84-40cd-983e-0a8e99763727","Primary Tumor","Primary Tumor"
"b6eea29b-e628-4ba9-8c36-6fec76dad20b","Primary Tumor","Primary Tumor"
"9326bb7f-da05-490c-a620-5c88323130d6","Primary Tumor","Primary Tumor"
"c9c262d1-a48f-49d8-a7d3-fcea1fd83691","Primary Tumor","Primary Tumor"
"5c97f076-c198-4d3d-b680-97c3e9fb08db","Primary Tumor","Primary Tumor"
"1ef4181f-9d16-4e3e-a8aa-ac0849bb6ef8","Primary Tumor","Primary Tumor"
"05960e82-e648-4b99-a116-9cf917d1bff7","Primary Tumor","Primary Tumor"
"3efa1571-cad2-4796-a459-144c38b87d9c","Primary Tumor","Primary Tumor"
"386303b0-03dc-4202-8af9-fb7373909c84","Primary Tumor","Primary Tumor"
"f5a7db34-479b-4593-9ba9-fd22a726eacd","Primary Tumor","Primary Tumor"
"f5c2e3ee-f3a6-4cb2-81b1-7d7652b6b600","Primary Tumor","Primary Tumor"
"93b8bab9-acd8-4a5a-b4ba-ec52b2ab186b","Primary Tumor","Primary Tumor"
"67823e04-d914-4a9f-8231-7103e55a0a74","Solid Tissue Normal","Solid Tissue Normal"
"3c230360-fe46-46ff-8e5e-225ee48484f2","Primary Tumor","Primary Tumor"
"2d736297-0768-4c2d-a81e-3617d83c0d71","Primary Tumor","Primary Tumor"
"3d72d0e5-dbfb-4a74-b893-6057f533123c","Primary Tumor","Primary Tumor"
"099fa24d-d952-4617-935c-a8d9439a5a11","Primary Tumor","Primary Tumor"
"41dbd6ab-871d-4ee4-be13-392b4995f6ce","Primary Tumor","Primary Tumor"
"704072c3-be9e-4221-9847-f558ccde7a5b","Primary Tumor","Primary Tumor"
"a790c01b-ddc7-459e-8a14-4e59f12bff6c","Primary Tumor","Primary Tumor"
"9993fdc8-ba90-4daa-8260-8e1a0941eff1","Primary Tumor","Primary Tumor"
"406fd7d3-b73a-4014-b315-1eeaae01e988","Primary Tumor","Primary Tumor"
"260c1dd7-d6f8-4337-9bba-5de192fc5af3","Primary Tumor","Primary Tumor"
"cf34dfb9-b3cd-43a0-aad5-48329539e196","Primary Tumor","Primary Tumor"
"93f62084-a6d0-4ccd-b84f-fddb1c3b6656","Primary Tumor","Primary Tumor"
"04ac5016-eca0-4536-ab2b-27ca4de15acd","Primary Tumor","Primary Tumor"
"ab007457-2432-44c5-813e-8c80c4603ddf","Primary Tumor","Primary Tumor"
"df44fccd-11dc-4fed-b2b9-74ff4081405e","Primary Tumor","Primary Tumor"
"b88178b2-b232-440b-a8db-db4af1e36381","Primary Tumor","Primary Tumor"
"f0101ef7-d3f7-458a-aa7e-77e68abb1cce","Primary Tumor","Primary Tumor"
"4f8f52e4-1a81-42a0-88a5-41e87b6be678","Primary Tumor","Primary Tumor"
"a9dd39b4-6d45-47e3-9339-a5f357cd14c4","Primary Tumor","Primary Tumor"
"a3a1a7b7-6109-4c9d-bb39-81d5d8a9c89f","Primary Tumor","Primary Tumor"
"f4d16cd8-479d-4984-87d6-7db8c1e421ab","Primary Tumor","Primary Tumor"
"4dbb7005-c218-434a-a462-6a7243edee12","Primary Tumor","Primary Tumor"
"b8ccb1a4-10c7-4b58-997a-d8bc30b0da5e","Primary Tumor","Primary Tumor"
"3b844b07-f24e-4135-b94a-5096e55c600e","Primary Tumor","Primary Tumor"
"09ace4e7-5c45-4492-b97c-46aa467820aa","Solid Tissue Normal","Solid Tissue Normal"
"9914a808-171b-494f-9e66-d5a3adec3d4c","Primary Tumor","Primary Tumor"
"f2ac5078-6abc-4e01-80d1-a0d723fe91af","Primary Tumor","Primary Tumor"
"04cfe993-afde-4e40-9cb1-d9c2415b16b6","Primary Tumor","Primary Tumor"
"2b696fa6-f248-4acc-93c0-9387591b75e7","Primary Tumor","Primary Tumor"
"d681c69f-3020-463b-90c0-bd9435e3f216","Primary Tumor","Primary Tumor"
"5af91b67-394a-4872-ad42-0f41e0998ad6","Primary Tumor","Primary Tumor"
"1a2097ac-6aef-4740-8076-1679365e1f4f","Primary Tumor","Primary Tumor"
"34933250-0d06-4072-b05f-99306e9ce476","Primary Tumor","Primary Tumor"
"dec82b4e-cb99-4b98-b2f6-7cdd64749cd0","Primary Tumor","Primary Tumor"
"ddcfa2c6-4647-4606-8b94-7ce79db9218e","Primary Tumor","Primary Tumor"
"4ef1bf1a-e6a4-4d0d-a84b-f0e742c09d8e","Primary Tumor","Primary Tumor"
"f139456f-3158-4ac4-8c60-454aa1c41861","Primary Tumor","Primary Tumor"
"23bc21ba-4d55-4f64-9bfb-8d0fc4c12c1a","Primary Tumor","Primary Tumor"
"730430cc-52a2-43c9-b919-549bb68eab69","Primary Tumor","Primary Tumor"
"7329ec19-7624-4c7c-9622-e6785ee4be09","Primary Tumor","Primary Tumor"
"0173d27e-ff23-42b2-afb9-9b867ace3efc","Primary Tumor","Primary Tumor"
"ee84d78c-72dd-4b1d-ac4b-402c9b19d3c2","Primary Tumor","Primary Tumor"
"ec09d84c-1112-4530-a320-a99043794fe3","Primary Tumor","Primary Tumor"
"1022aa8a-ff64-4756-b20f-43a12a53efc1","Primary Tumor","Primary Tumor"
"3b7583b0-9f6c-48d6-b3af-e19832bf2d9f","Primary Tumor","Primary Tumor"
"b16e4a88-6d23-479b-a68c-c4d7c3a16725","Primary Tumor","Primary Tumor"
"d6ffd7b8-7dd4-4342-8e0f-ccef57b16921","Primary Tumor","Primary Tumor"
"70a0fb72-e7ca-4fe5-8eed-7377dfc26b0c","Primary Tumor","Primary Tumor"
"1871694f-863b-4483-8157-8aa0ddfdda5e","Primary Tumor","Primary Tumor"
"9a8b5955-c2ed-485b-ac13-9042c1adf631","Primary Tumor","Primary Tumor"
